Days for shipment (scheduled),Category Name,Market,Order Item Discount,Order Item Profit Ratio,Order Region,Order Status,Product Price,Shipping Mode
4,Sporting Goods,Pacific Asia,13.10999966,0.289999992,Southeast Asia,COMPLETE,327.75,Standard Class
4,Sporting Goods,Pacific Asia,16.38999939,-0.800000012,South Asia,PENDING,327.75,Standard Class
4,Sporting Goods,Pacific Asia,18.03000069,-0.800000012,South Asia,CLOSED,327.75,Standard Class
4,Sporting Goods,Pacific Asia,22.94000053,0.079999998,Oceania,COMPLETE,327.75,Standard Class
4,Sporting Goods,Pacific Asia,29.5,0.449999988,Oceania,PENDING_PAYMENT,327.75,Standard Class
4,Sporting Goods,Pacific Asia,32.77999878,0.059999999,Oceania,CANCELED,327.75,Standard Class
1,Sporting Goods,Pacific Asia,39.33000183,0.330000013,Eastern Asia,COMPLETE,327.75,First Class
1,Sporting Goods,Pacific Asia,42.61000061,0.239999995,Eastern Asia,PROCESSING,327.75,First Class
2,Sporting Goods,Pacific Asia,49.15999985,0.479999989,Eastern Asia,CLOSED,327.75,Second Class
1,Sporting Goods,Pacific Asia,52.43999863,0.479999989,Eastern Asia,CLOSED,327.75,First Class
2,Sporting Goods,Pacific Asia,55.72000122,0.479999989,Eastern Asia,SUSPECTED_FRAUD,327.75,Second Class
2,Sporting Goods,Pacific Asia,59.0,0.170000002,Southeast Asia,PENDING,327.75,Second Class
2,Sporting Goods,Pacific Asia,65.55000305,0.079999998,Southeast Asia,PENDING,327.75,Second Class
1,Sporting Goods,Pacific Asia,81.94000244,0.100000001,South Asia,COMPLETE,327.75,First Class
1,Sporting Goods,Pacific Asia,0.0,0.050000001,South Asia,PROCESSING,327.75,First Class
1,Sporting Goods,Pacific Asia,3.279999971,-0.800000012,South Asia,COMPLETE,327.75,First Class
2,Sporting Goods,Pacific Asia,6.559999943,-0.769999981,Eastern Asia,PENDING_PAYMENT,327.75,Second Class
1,Sporting Goods,Pacific Asia,9.829999924,0.079999998,South Asia,CLOSED,327.75,First Class
1,Sporting Goods,Pacific Asia,13.10999966,0.330000013,South Asia,COMPLETE,327.75,First Class
0,Sporting Goods,Pacific Asia,16.38999939,0.280000001,South Asia,PENDING_PAYMENT,327.75,Same Day
0,Sporting Goods,Pacific Asia,18.03000069,0.5,South Asia,PROCESSING,327.75,Same Day
4,Sporting Goods,Pacific Asia,22.94000053,0.270000011,South Asia,PENDING,327.75,Standard Class
2,Sporting Goods,Pacific Asia,29.5,0.079999998,Oceania,PENDING,327.75,Second Class
2,Sporting Goods,Pacific Asia,32.77999878,0.059999999,Oceania,CANCELED,327.75,Second Class
2,Sporting Goods,Pacific Asia,39.33000183,0.310000002,Oceania,SUSPECTED_FRAUD,327.75,Second Class
2,Sporting Goods,Pacific Asia,42.61000061,0.460000008,Oceania,COMPLETE,327.75,Second Class
2,Sporting Goods,Pacific Asia,49.15999985,0.330000013,Oceania,PENDING,327.75,Second Class
4,Sporting Goods,Pacific Asia,52.43999863,0.300000012,Eastern Asia,PENDING_PAYMENT,327.75,Standard Class
4,Sporting Goods,Pacific Asia,55.72000122,-0.059999999,Eastern Asia,COMPLETE,327.75,Standard Class
4,Sporting Goods,Pacific Asia,59.0,0.090000004,Eastern Asia,PROCESSING,327.75,Standard Class
4,Sporting Goods,Pacific Asia,65.55000305,0.280000001,Eastern Asia,ON_HOLD,327.75,Standard Class
4,Sporting Goods,Pacific Asia,81.94000244,0.460000008,South Asia,COMPLETE,327.75,Standard Class
4,Sporting Goods,Pacific Asia,0.0,0.079999998,South Asia,PENDING_PAYMENT,327.75,Standard Class
1,Sporting Goods,Pacific Asia,3.279999971,-0.300000012,Eastern Asia,COMPLETE,327.75,First Class
1,Sporting Goods,Pacific Asia,6.559999943,-1.330000043,Eastern Asia,PENDING_PAYMENT,327.75,First Class
1,Sporting Goods,Pacific Asia,9.829999924,0.479999989,Southeast Asia,PENDING_PAYMENT,327.75,First Class
1,Sporting Goods,Pacific Asia,13.10999966,0.479999989,South Asia,CLOSED,327.75,First Class
1,Sporting Goods,Pacific Asia,16.38999939,0.200000003,Oceania,COMPLETE,327.75,First Class
0,Sporting Goods,Pacific Asia,18.03000069,0.109999999,Oceania,COMPLETE,327.75,Same Day
0,Sporting Goods,Pacific Asia,22.94000053,0.189999998,Oceania,CANCELED,327.75,Same Day
0,Sporting Goods,Pacific Asia,29.5,0.479999989,Southeast Asia,PENDING_PAYMENT,327.75,Same Day
0,Sporting Goods,Pacific Asia,32.77999878,0.460000008,Southeast Asia,COMPLETE,327.75,Same Day
4,Sporting Goods,Pacific Asia,39.33000183,0.460000008,Southeast Asia,CLOSED,327.75,Standard Class
4,Sporting Goods,Pacific Asia,42.61000061,0.419999987,Southeast Asia,PENDING_PAYMENT,327.75,Standard Class
4,Sporting Goods,Pacific Asia,49.15999985,0.109999999,Oceania,COMPLETE,327.75,Standard Class
4,Sporting Goods,Pacific Asia,52.43999863,0.310000002,South Asia,PENDING,327.75,Standard Class
2,Sporting Goods,Pacific Asia,55.72000122,0.479999989,South Asia,PENDING,327.75,Second Class
4,Sporting Goods,Pacific Asia,59.0,0.0,Eastern Asia,PROCESSING,327.75,Standard Class
2,Cleats,Pacific Asia,4.800000191,-0.270000011,South Asia,PENDING_PAYMENT,59.99000168,Second Class
2,Shop By Sport,Pacific Asia,0.800000012,-1.549999952,West Asia,PENDING_PAYMENT,39.99000168,Second Class
2,Women's Apparel,Pacific Asia,4.0,0.349999994,Oceania,PENDING_PAYMENT,50.0,Second Class
2,Shop By Sport,Pacific Asia,4.0,0.330000013,West Asia,PENDING_PAYMENT,39.99000168,Second Class
2,Women's Apparel,Pacific Asia,9.0,0.100000001,Eastern Asia,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,Pacific Asia,13.0,-0.25,West Asia,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,Pacific Asia,18.0,0.079999998,South Asia,PENDING_PAYMENT,50.0,Second Class
2,Electronics,USCA,15.30000019,0.300000012,West of USA ,PENDING_PAYMENT,44.99000168,Second Class
2,Boxing & MMA,USCA,19.79000092,0.280000001,West of USA ,PENDING_PAYMENT,54.97000122,Second Class
2,Cleats,USCA,2.400000095,0.25999999,West of USA ,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,USCA,24.0,0.479999989,US Center ,PENDING_PAYMENT,59.99000168,Second Class
2,Cardio Equipment,Africa,36.0,-0.699999988,West Africa,PENDING_PAYMENT,99.98999786,Second Class
2,Shop By Sport,Africa,6.0,0.340000004,Central Africa,PENDING_PAYMENT,39.99000168,Second Class
2,Trade-In,Africa,1.980000019,-0.059999999,West Africa,PENDING_PAYMENT,21.98999977,Second Class
2,Electronics,Africa,16.30999947,0.479999989,North Africa,PENDING_PAYMENT,31.98999977,Second Class
2,Cardio Equipment,Europe,6.0,0.439999998,Western Europe,PENDING_PAYMENT,99.98999786,Second Class
2,Cardio Equipment,Europe,30.0,0.49000001,Western Europe,PENDING_PAYMENT,99.98999786,Second Class
2,Cardio Equipment,Europe,74.98999786,0.340000004,Western Europe,PENDING_PAYMENT,99.98999786,Second Class
2,Cleats,Europe,3.599999905,0.460000008,Western Europe,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,Europe,12.60000038,0.25999999,Northern Europe,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,Europe,16.20000076,0.419999987,Northern Europe,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,Europe,18.0,0.25,Western Europe,PENDING_PAYMENT,59.99000168,Second Class
2,Women's Apparel,Europe,10.5,0.150000006,Western Europe,PENDING_PAYMENT,50.0,Second Class
2,Shop By Sport,Europe,12.0,0.109999999,Northern Europe,PENDING_PAYMENT,39.99000168,Second Class
2,Women's Apparel,Europe,37.5,0.109999999,Western Europe,PENDING_PAYMENT,50.0,Second Class
2,Trade-In,Europe,10.56000042,0.140000001,Western Europe,PENDING_PAYMENT,21.98999977,Second Class
